Keuze	ID	AET_ID	num_scans	invnr	GUID	beschrijving	link	representatieve afbeelding	Thumb	visueelisueel of textueelekstextueelueel	Soort / brontype	Bron subtype	Personen	Locaties	Periodes	Onderwerpen	Full text	Extra info (informatie  uit velden)	Context	Context en beschrijving (aan elkaar geplakt)
JA	722144	4	186	1001.2853	609C5B9956E34642E0534701000A17FD	"Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 2853.  1659, 1663, 1665 april-aug	https://hetutrechtsarchief.nl/collectie/609C5B9956E34642E0534701000A17FD	https://proxy.archieven.nl/large/39/609C5C2FF2A64642E0534701000A17FD		textueel	Nouvelles		Waarnemers (onbekende personen genoemd in "Nouvelles").						1001 Huis Amerongen  /  Inventaris / 2. Stukken betreffende heren en vrouwen van Amerongen en Zuilenstein en hun bloedverwanten / 2.1. Familie van Reede / 2.1.07. Godard Adriaan van Reede x Margareta Turnor / 2.1.07.3. Algemeen / "Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 / 2853. 1659, 1663, 1665 april-aug	1001 Huis Amerongen  /  Inventaris / 2. Stukken betreffende heren en vrouwen van Amerongen en Zuilenstein en hun bloedverwanten / 2.1. Familie van Reede / 2.1.07. Godard Adriaan van Reede x Margareta Turnor / 2.1.07.3. Algemeen / "Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 / 2853. 1659, 1663, 1665 april-aug"Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 2853.  1659, 1663, 1665 april-aug
	722145	4	70	1001.2854	609C5B9956E44642E0534701000A17FD	"Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 2854.  1668	https://hetutrechtsarchief.nl/collectie/609C5B9956E44642E0534701000A17FD	https://proxy.archieven.nl/large/39/609C5C2FF9654642E0534701000A17FD											1001 Huis Amerongen  /  Inventaris / 2. Stukken betreffende heren en vrouwen van Amerongen en Zuilenstein en hun bloedverwanten / 2.1. Familie van Reede / 2.1.07. Godard Adriaan van Reede x Margareta Turnor / 2.1.07.3. Algemeen / "Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 / 2854. 1668	1001 Huis Amerongen  /  Inventaris / 2. Stukken betreffende heren en vrouwen van Amerongen en Zuilenstein en hun bloedverwanten / 2.1. Familie van Reede / 2.1.07. Godard Adriaan van Reede x Margareta Turnor / 2.1.07.3. Algemeen / "Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 / 2854. 1668"Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 2854.  1668
	722146	4	243	1001.2855	609C5B9956E54642E0534701000A17FD	"Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 2855.  1676 juli, 1679 nov.-1680 mei	https://hetutrechtsarchief.nl/collectie/609C5B9956E54642E0534701000A17FD	https://proxy.archieven.nl/large/39/609C5C30070D4642E0534701000A17FD											1001 Huis Amerongen  /  Inventaris / 2. Stukken betreffende heren en vrouwen van Amerongen en Zuilenstein en hun bloedverwanten / 2.1. Familie van Reede / 2.1.07. Godard Adriaan van Reede x Margareta Turnor / 2.1.07.3. Algemeen / "Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 / 2855. 1676 juli, 1679 nov.-1680 mei	1001 Huis Amerongen  /  Inventaris / 2. Stukken betreffende heren en vrouwen van Amerongen en Zuilenstein en hun bloedverwanten / 2.1. Familie van Reede / 2.1.07. Godard Adriaan van Reede x Margareta Turnor / 2.1.07.3. Algemeen / "Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 / 2855. 1676 juli, 1679 nov.-1680 mei"Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 2855.  1676 juli, 1679 nov.-1680 mei
	722147	4	209	1001.2856	609C5B9956E64642E0534701000A17FD	"Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 2856.  1680 juni-dec	https://hetutrechtsarchief.nl/collectie/609C5B9956E64642E0534701000A17FD	https://proxy.archieven.nl/large/39/609C5C3014AC4642E0534701000A17FD											1001 Huis Amerongen  /  Inventaris / 2. Stukken betreffende heren en vrouwen van Amerongen en Zuilenstein en hun bloedverwanten / 2.1. Familie van Reede / 2.1.07. Godard Adriaan van Reede x Margareta Turnor / 2.1.07.3. Algemeen / "Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 / 2856. 1680 juni-dec	1001 Huis Amerongen  /  Inventaris / 2. Stukken betreffende heren en vrouwen van Amerongen en Zuilenstein en hun bloedverwanten / 2.1. Familie van Reede / 2.1.07. Godard Adriaan van Reede x Margareta Turnor / 2.1.07.3. Algemeen / "Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 / 2856. 1680 juni-dec"Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 2856.  1680 juni-dec
	722148	4	239	1001.2857	609C5B9956E74642E0534701000A17FD	"Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 2857.  1681 jan.-aug	https://hetutrechtsarchief.nl/collectie/609C5B9956E74642E0534701000A17FD	https://proxy.archieven.nl/large/39/609C5C3022B94642E0534701000A17FD											1001 Huis Amerongen  /  Inventaris / 2. Stukken betreffende heren en vrouwen van Amerongen en Zuilenstein en hun bloedverwanten / 2.1. Familie van Reede / 2.1.07. Godard Adriaan van Reede x Margareta Turnor / 2.1.07.3. Algemeen / "Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 / 2857. 1681 jan.-aug	1001 Huis Amerongen  /  Inventaris / 2. Stukken betreffende heren en vrouwen van Amerongen en Zuilenstein en hun bloedverwanten / 2.1. Familie van Reede / 2.1.07. Godard Adriaan van Reede x Margareta Turnor / 2.1.07.3. Algemeen / "Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 / 2857. 1681 jan.-aug"Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 2857.  1681 jan.-aug
	722149	4	281	1001.2858	609C5B9956E84642E0534701000A17FD	"Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 2858.  1682 mei-dec	https://hetutrechtsarchief.nl/collectie/609C5B9956E84642E0534701000A17FD	https://proxy.archieven.nl/large/39/609C5C2FC3E94642E0534701000A17FD											1001 Huis Amerongen  /  Inventaris / 2. Stukken betreffende heren en vrouwen van Amerongen en Zuilenstein en hun bloedverwanten / 2.1. Familie van Reede / 2.1.07. Godard Adriaan van Reede x Margareta Turnor / 2.1.07.3. Algemeen / "Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 / 2858. 1682 mei-dec	1001 Huis Amerongen  /  Inventaris / 2. Stukken betreffende heren en vrouwen van Amerongen en Zuilenstein en hun bloedverwanten / 2.1. Familie van Reede / 2.1.07. Godard Adriaan van Reede x Margareta Turnor / 2.1.07.3. Algemeen / "Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 / 2858. 1682 mei-dec"Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 2858.  1682 mei-dec
	722150	4	250	1001.2859	609C5B9956E94642E0534701000A17FD	"Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 2859.  1683 nov.-1684 mei	https://hetutrechtsarchief.nl/collectie/609C5B9956E94642E0534701000A17FD	https://proxy.archieven.nl/large/39/609C5C2FD1874642E0534701000A17FD											1001 Huis Amerongen  /  Inventaris / 2. Stukken betreffende heren en vrouwen van Amerongen en Zuilenstein en hun bloedverwanten / 2.1. Familie van Reede / 2.1.07. Godard Adriaan van Reede x Margareta Turnor / 2.1.07.3. Algemeen / "Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 / 2859. 1683 nov.-1684 mei	1001 Huis Amerongen  /  Inventaris / 2. Stukken betreffende heren en vrouwen van Amerongen en Zuilenstein en hun bloedverwanten / 2.1. Familie van Reede / 2.1.07. Godard Adriaan van Reede x Margareta Turnor / 2.1.07.3. Algemeen / "Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 / 2859. 1683 nov.-1684 mei"Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 2859.  1683 nov.-1684 mei
	722151	4	187	1001.2860	609C5B9956EA4642E0534701000A17FD	"Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 2860.  1684 juni-okt	https://hetutrechtsarchief.nl/collectie/609C5B9956EA4642E0534701000A17FD	https://proxy.archieven.nl/large/39/609C5C2FDEC94642E0534701000A17FD											1001 Huis Amerongen  /  Inventaris / 2. Stukken betreffende heren en vrouwen van Amerongen en Zuilenstein en hun bloedverwanten / 2.1. Familie van Reede / 2.1.07. Godard Adriaan van Reede x Margareta Turnor / 2.1.07.3. Algemeen / "Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 / 2860. 1684 juni-okt	1001 Huis Amerongen  /  Inventaris / 2. Stukken betreffende heren en vrouwen van Amerongen en Zuilenstein en hun bloedverwanten / 2.1. Familie van Reede / 2.1.07. Godard Adriaan van Reede x Margareta Turnor / 2.1.07.3. Algemeen / "Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 / 2860. 1684 juni-okt"Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 2860.  1684 juni-okt
	722152	4	196	1001.2861	609C5B9956EB4642E0534701000A17FD	"Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 2861.  1690 juni-dec	https://hetutrechtsarchief.nl/collectie/609C5B9956EB4642E0534701000A17FD	https://proxy.archieven.nl/large/39/609C5C2FEC454642E0534701000A17FD											1001 Huis Amerongen  /  Inventaris / 2. Stukken betreffende heren en vrouwen van Amerongen en Zuilenstein en hun bloedverwanten / 2.1. Familie van Reede / 2.1.07. Godard Adriaan van Reede x Margareta Turnor / 2.1.07.3. Algemeen / "Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 / 2861. 1690 juni-dec	1001 Huis Amerongen  /  Inventaris / 2. Stukken betreffende heren en vrouwen van Amerongen en Zuilenstein en hun bloedverwanten / 2.1. Familie van Reede / 2.1.07. Godard Adriaan van Reede x Margareta Turnor / 2.1.07.3. Algemeen / "Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 / 2861. 1690 juni-dec"Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 2861.  1690 juni-dec
	722153	4	203	1001.2862	609C5B9956EC4642E0534701000A17FD	"Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 2862.  1691 jan.-okt	https://hetutrechtsarchief.nl/collectie/609C5B9956EC4642E0534701000A17FD	https://proxy.archieven.nl/large/39/609C5C2FF9B34642E0534701000A17FD											1001 Huis Amerongen  /  Inventaris / 2. Stukken betreffende heren en vrouwen van Amerongen en Zuilenstein en hun bloedverwanten / 2.1. Familie van Reede / 2.1.07. Godard Adriaan van Reede x Margareta Turnor / 2.1.07.3. Algemeen / "Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 / 2862. 1691 jan.-okt	1001 Huis Amerongen  /  Inventaris / 2. Stukken betreffende heren en vrouwen van Amerongen en Zuilenstein en hun bloedverwanten / 2.1. Familie van Reede / 2.1.07. Godard Adriaan van Reede x Margareta Turnor / 2.1.07.3. Algemeen / "Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 / 2862. 1691 jan.-okt"Nouvelles", ingekomen berichten van waarnemers over plaatselijke en militaire ontwikkelingen, 1659-1691 2862.  1691 jan.-okt
